musical_work_id,musical_work_variant_titles,composer,file_format,url_to_file
66,['Alons fere nos barbes '],Loyset Compère,xml,https://db.simssa.ca/files/261
67,['Voles ouir une sanson de chyons '],Loyset Compère,xml,https://db.simssa.ca/files/265
68,['Plus nullez regretez '],des Prez Josquin,xml,https://db.simssa.ca/files/269
69,['Ille etet ung bon homme '],,xml,https://db.simssa.ca/files/273
70,['Une playsant fìlette '],Loyset Compère,xml,https://db.simssa.ca/files/277
71,['ludica me Deus '],Andreas De Silva,xml,https://db.simssa.ca/files/281
72,['Prophetarum maxime '],Heinrich Isaac,xml,https://db.simssa.ca/files/285
73,['Paratum cor meum Deus '],des Prez Josquin,xml,https://db.simssa.ca/files/289
74,['Spem in alium numquam habui '],,xml,https://db.simssa.ca/files/293
75,['Regem confessorum dominum venite '],Jean Mouton,xml,https://db.simssa.ca/files/297
76,['Bona vita bona refectio '],Jean Mouton,xml,https://db.simssa.ca/files/301
77,"['Alma redemptoris mater (C., B.) / Ave regina coelorum (Α., T.)']",des Prez Josquin,xml,https://db.simssa.ca/files/305
78,['Ave Maria gratia plena … virgo serena'],des Prez Josquin,xml,https://db.simssa.ca/files/309
79,['Miserere mei Deus '],,xml,https://db.simssa.ca/files/313
80,['Missus est angelus Gabriel '],des Prez Josquin,xml,https://db.simssa.ca/files/317
81,['Felix namque es sacra Virgo Maria '],Jean Mouton,xml,https://db.simssa.ca/files/321
82,['Ο bone et dulcis domine Yhesus '],des Prez Josquin,xml,https://db.simssa.ca/files/325
83,['Missa De feria'],Pierre La Rue,,
