chant_id,incipit,genre,genre_@id,mode,mode_@id,finalis,composer,composer_@id,absolute_url,src_link,cantus_id
560671,Beata quae credidit quoniam perfecta ,Responsory verse,Responsory verse,7,Q321814,B,Anonymous,Q4233718,https://cantusdatabase.org/chant/560671,https://cantusdatabase.org/source/123756,006162b
562073,Cum angelis et pueris fideles ,Antiphon,Q582093,7,Q321814,G,Anonymous,Q4233718,https://cantusdatabase.org/chant/562073,https://cantusdatabase.org/source/123756,001974
669168,Jucundare filia Sion et exsulta ,Antiphon,Q582093,8,Q57976142,G,Anonymous,Q4233718,https://cantusdatabase.org/chant/669168,https://cantusdatabase.org/source/669163,003509
671644,Cenantibus autem accepit Jesus panem ,Antiphon,Q582093,1,Q960729,D,Anonymous,Q4233718,https://cantusdatabase.org/chant/671644,https://cantusdatabase.org/source/669163,001781
561094,Reges Tharsis et insulae munera ,Responsory verse,Responsory verse,7,Q321814,B,Anonymous,Q4233718,https://cantusdatabase.org/chant/561094,https://cantusdatabase.org/source/123756,007314a
563236,Erat enim exercitus magnus valde ,Responsory verse,Responsory verse,2,Q842766,C,Anonymous,Q4233718,https://cantusdatabase.org/chant/563236,https://cantusdatabase.org/source/123756,007518a
560660,Facturae plasmator et conditor cunctorum ,Tropus,Tropus,1,Q960729,A,Anonymous,Q4233718,https://cantusdatabase.org/chant/560660,https://cantusdatabase.org/source/123756,006411Pzd
672130,Exaltabo te domine quoniam suscepisti ,Antiphon,Q582093,8,Q57976142,G,Anonymous,Q4233718,https://cantusdatabase.org/chant/672130,https://cantusdatabase.org/source/669163,002755
307922,Qui vere deum contemplantur,Antiphon,Q582093,7T,7T,F,Anonymous,Q4233718,https://cantusdatabase.org/chant/307922,https://cantusdatabase.org/source/123686,205741
561615,Iter faciente Jesu dum ambularet ,Antiphon,Q582093,1,Q960729,D,Anonymous,Q4233718,https://cantusdatabase.org/chant/561615,https://cantusdatabase.org/source/123756,003463
323097,Esto mihi in deum protectorem,Responsory verse,Responsory verse,1T,1T,A,Anonymous,Q4233718,https://cantusdatabase.org/chant/323097,https://cantusdatabase.org/source/123711,006423a
561108,Adorate dominum alleluia in aula ,Antiphon,Q582093,6,Q5959856,F,Anonymous,Q4233718,https://cantusdatabase.org/chant/561108,https://cantusdatabase.org/source/123756,001288
670254,Haec dies quam fecit dominus ,Gradual,Q849305,2T,2T,A,Anonymous,Q4233718,https://cantusdatabase.org/chant/670254,https://cantusdatabase.org/source/669907,008414
671281,Venite adoremus dominum et procidamus ,Antiphon,Q582093,8T,8T,D,Anonymous,Q4233718,https://cantusdatabase.org/chant/671281,https://cantusdatabase.org/source/620437,a01515
