"chant_id","incipit","volpiano","mode","finalis","absolute_url","src_link"
"588518","O lucidissima apostolorum turba surgens ","1---fff-ijhg-h---klkhgf-gf--kk-lk7--nmlk-khgf--ghgfe--f---f--h--jk--lk-nnnmlk-ooonmlkk-hgf-gghgfed--ef-ghf---f-ffh-jhgf-ggD7--f---d-ddf-gH--f---gF---g--h---ijjG--f--kk-lk-nmlk-khgf--f-gghgf--ghgf---d---f--fk-lk7-nmlk-ghgf--gf---fih-hhk--jhg--kh---h--k--g-kkkjhg--ijj-jh-kjhg--h---dc--d-ddfe--g7--cded---hh-hg-kjhg-h-ll-lk-nmlk-l-oo-on-qpon-o-oo-oN--mlk-l--g-ggijhg-ggF--ghg---gfg7--ijh-khf--g---jhg-ggE---gg-gf-jhg-gF--g---g--gl-m-onm-nmlkjhgf-ghhF--g---gg-jhgf--ghgf-g7---gjh-khgf---hg---g--gl-onml-nmlkj-k-kkl-ln--oqpon-oooonml--klkjhgf-g---j-jjlkjhgf-gghg7---f---g--hG--gl-monml-mmmlkj--klkjhgf-g---j-jjlk--jhg--fgfe-fhg---g--gl--onml-ml--kl7--kijhg---j-jjlkjhgf--g---g--jH-f--jhgf--g---gg-gf-jhggF--g---g--jhgf-ghg7---g--gk--oqpon-o-ooonmlK--klkjhgf-g---g---ijH--kkkjhgf--ge-fg---jH--hg--hG--fghg7---g--g-jk-lkj-k-nn-nl-oqpon--o---oN---oqpo-oN--o---o-n-k--klkjhgf--hg---jklk--l---lnmlk7--g---l---mnmlkj--jh---f---hkkj--mmmlkj--jhfe-f-ffh-jh-j-jjl-mlkjh-j--j7---4","7/8","B","cantusdatabase.org/chant/588518","cantusdatabase.org/source/588308"
"693843","Mandatum novum do vobis ut ","1---g--g--h---k--k---h---k--j---h---g--h--h77--h---j--h--g---jh--k---j--h--gh---k---g--gf---e--e--e---3","3","E","cantusdatabase.org/chant/693843","cantusdatabase.org/source/693577"
"675555","Propitius esto domine peccatis nostris ","d--f-fg--f--f---hgh--gfgfd---dgfgh--g--ghjgf-fdfgf---f--hghklk--hijhg---hkghjhj--jh---f--h--k---hhg--h---hghfg--feghfghfed-efg-gf---fh-hij--gk---k---k--k---khjkjhghjhg--fgf--fhk-fhk-kh-hfhghg-gf---","6","F","cantusdatabase.org/chant/675555","cantusdatabase.org/source/674961"
"560485","Spiritus domini super me evangelizare ","1---df--d--d---dc--d--f---f--e---d---f--fE--d--e--g--f---d--f--f--ef---g--fe---d---4---f--f--f--e--c--d---3","2","D","cantusdatabase.org/chant/560485","cantusdatabase.org/source/123756"
"588536","O felix apparitio cum in ","1---e---ef--ed---e--g--h--fe--d-dde---e---e---ej-kJ--h--g---hgh--j7---jml--kkj--hj---jkG--g---hg-h-hhj--j---efed--gh--gfed--e---edb-ded--efe7---e---ej--ml--ml---kjhg-h--j---jH---jk--hg---h--hj---j-jjl--hg-h-hhj---j7--jm-onml--m---ml--ml--kjh-j---efeD--gh--gfed-e---eD--b---ded--efe--e7---e--ej--ml--ml---kjhg-hg-hhkkj--j---j---hm--onm-mL--m---ml--ml--kjh-j---efed7-ghgfed-e-jkjhg-hg-h-hhjg-h-hhkj-jm-onml-mmlkjh-j-j-jjlkhg-h-hhjgfed--e-ffgfedc--ded---3---h--g--h--kk--gf--e7---4","4","E","cantusdatabase.org/chant/588536","cantusdatabase.org/source/588308"
"701041","Sancta Monica precamus nos qui ","cd--dc---edfed--cd--d---f--g--h---h---g---gh---gf--ed---edf--e--d---h---k---l---lh--kjgf---g--g--h---h---g--hg--f---g--ij--gf--gh---h---g--hg--f---gh--f--e--d---c--d--f---gfh-hf-gd-ghg--fe---d--cd--dc---d--efe--d--d---|---f-gh---","1","d","cantusdatabase.org/chant/701041","cantusdatabase.org/source/701002"
"638168","O pulcherrima mater quam dulcis ","1---k---l--mn--lK--k---m-mmo--mnlk---l---m--n---l---k---kl--ijhg---ghk7---kljj--h---g-ggkJ--lk---k--l--m--h---g-ggkJ---lk---4","6T","C","cantusdatabase.org/chant/638168","cantusdatabase.org/source/588308"
"588579","O ecclesia oculi tui similes ","1---hm---po--p--nml--m---m-mmo--nm--l---kl---kk--g--h---g--h--ijk---lkijh7---hm---l--k---l--m---pp--l---m-mmoo--lm---m---lm--lk---l--m---m7---m--o---ppO---po--nm---llk---l--m---m---op---p--p---rq--p---o--p7---onl--n--oppO---pO--nmlkk--ijhg-h---3---hm---nm--lk--l--m---m--o---ponm--lkl--m7---m-mmoo--nm--l---k--lk--ijh---g--ih-hhk---lkj--kh--jh---hm---nm--lk---l---m7---pp--l--m-mmoo---n--nnml--m---l---mnm---l--k---j--klk--jh---m-mmoo--nm---pO7--p--o--nm---lk--l--m---m-mmo--nm--lk---ij-kklk--jh---3---hm7---l-lM--m---po--nm--lk--l--m---nlk--jh--g--h--jk---l---lkj---m--lk--k---ko7---lK---l--m-mmo--nm--m---pp--l--m-mmoo---nm--lk---lk--jh--gh---g---h--j--k--l77---k--l---k---j---kg--ijh---hm--lK---l--m---m---l---m--po--o7--q---p--q--q---pon--ml---k--j--h---j-jjlk--jh--h---3---hm---lk--jhjhg-h7---kl-mmo--nm--m---pp---l--m--no---nm--lk---l--m---hg---k--lm---nm--l--k7---ij--klk--jh---3---hm---nm--lkl--m---pp--l--m-mmo--nm--m---mnmll--k--l--mn---ooM--lk7--l--m--m---mnmll--k---ij---klklkjj--h---3---hm---lk--l--m---nm--l7--m---mn---ooN--m---hmlK---llK--h---lK--l--nml--m---mo--p---pO---q7--q--p---pO--po--nm---m-mmo--lk---l--m---hg--mnmlkk--ijh---3---g-gH--h---jh--g---j7--klk--jh--h---mnmll--k---lK--l-lM--mn---oon--lk---lm7---nm--l---kJ---klklkjj--h---3---hm---lK7--ijhg--k--lnnm---po--nm--l-llm---m-mmo--nm--lm-nml-lK--k---l--mnm--m---h-hhkk7--g---k---ijj--gh---hm--nm--lK---lK--l-lM--m---h-hhkijh-g-gH--h---hijh--g7---k--jh--gf---g--h-hhkiJ--h---3---hm---lk--j--g--h---hgh--e---g--h7---k--jhg--h---hm---po--n--oo--l-lM--m---hg--k---lm---nm--l--kij--klk7---jh--h---ll--gf--g--h---3---hm---l---m---l--k---lm--m---hhg--kjg-h---m--o7--ppo--nm---lK--lm--m--m---l---m-mmn--nm---l--k---lm--m---hg--kjg7--h---3---h-hhkjg---k--jh--g-gH--h---k--lm---no--nm--lkl7--m---pp-l-lM--m---l---mn--o--nm--lk--l--m---nm--m---nlkk--jh--g---g-gghhgf777---3---h-hhkjhg---k--lm--m---nm--lk---j-kklk--jh---hg---k---lM--mnmlk---j--k7--lklkijh--h---kkj--gf---k--jh---g--h---hm--m---nm--lk---lK7--jh--g---k--jh--h---kjhg---k--lm---l--mn--onml-mk-lm--m---nmlk--lk7--ijh--g---j--kl---k--jhg---h--jk--jh--gf---gjjh7---4","1T/3T","A","cantusdatabase.org/chant/588579","cantusdatabase.org/source/588308"
"588578","O Jerusalem aurea civitas ornata ","1---g---f--e--f--ed---d--e--g---h--fef--g---gF--f--ed7---d--e-eeg---hhg--fhgf--g---3---g---h--g--f--g--f--ed---d--e---f--gf--hgf7--g---g---f---ed---d--e-eegg---h--f--hgf--g---3---g7---f--eD---d---e-eegF--hgf--g---g---f--e--d---d---e---f--g--f---hgf--g7---3---g---j--k--l---m--k--l--k--jhg---h---k--g--e---f---de--g--g---g---g7---j--k--l--l---m--l--k--l--k--jhgf---g---kk--g---hhg---efd-g-hhj-kjhgf7--g---3---g---g---j---k--l--l---mk--lk--jhg---h---kk---g--e---fE7--d---e--g--g---g--g---j---k--l---j--k--l---m--l7---k--l--k--jhg---h--kk---g---f---efE--d---g-hhj--kjhgf--g7---3---g--j--kl---ml--kl---l--lm--mlkj-kkl--l---g---hj--k--g--f---g---kk7--g--efd---g--h--jk--l--kjk---hhg---h--ede--g--g---3---g---jh--g7---j---k--l---l---ml--j-jjlK--l---l---lm--m---l--j-jjl--l---g--h7--j---k--h--g---h--k---g---f---efE--d---d--ede--g--g7---g--h---j--k--l---j---kJ--h--g---h---kk--g---h--efeD--de--g--g7---3---g---hkjhh--g---hg---ef--g---g---j---k--l---l--k--l--kjk7---hG--g---h---e---d--e--g---hgg--e---d--e-eG--g---g---j7---k--h---g--gh--ged---g---hjH--ede--g---3---g---hkjhg---hg--eg--g77---l---l---k---l--kjk--hg---h---e--d--d-ddg--hg---g---h7--j--j--k--hg---hG--ghg--ed---g-hhj-kjhgg--ef--g---g---h---j---j---k--hg-gh7--gh--ged---g---h--j--e--d---g--h--e---d--eg--hge--g7---3---gh---g---g--e--g--g---g--h--j---kkj--hg---h--j7---kJ--h--g--f---hg--g---g--e--d--g--g---g---h--jh--j---h---k--jh--g7---ef--g---kkj--f--ed---g---h--j---k--hg--gF---ef--g7---3---g---e---d--eg--g---hg---g---jhg---j-jjljkhgf--hhg--g---g---h7---j--jh--k--jhg--g---g---e---d--e--d--eg--hg--g---jkhgf--hg---g---j-jjl--l7---ml--kj--h--g---h---j--k--hg---fef--g---g---e---d--e--d--eg--g7---jk--hgf--hg--g---g---j---k--l--jk--l---ml--kj--hg---h--j--kjhg7---g--fef--g---3---g---h--g--jk--hg-efg---l--lm--nnl--kjk---hg--g7---g--fed--d-ddggF---hg---g---j--k--lml--l---l--lml--kj-kkl--l---l7---m---ooM---o--mlk--ml--l---l---l--l--ml--kj-kkl--l---l---g--h--j7---k--hg---fef--g---g---h---j--jh--kjhgg---ef--g---g--hhg--fed---d-ddg---hg7---g--h--j--jhkjhg---h---f---e---d--e--g---hg---3---g--hhg--g7---jk--hg-efg---lm--mlkj-kkl---ll--gh--j---k--hg---h--e--d-ddg--hg7---g---j---k--l---ml--j-jjl--l---ll--g---h--j--k--hg---h--fe777---d-ddfgg--hg---g---hj--kjhgf---h--hg--fef--g---3---g---h--j---kl--ml-j-jjl-lm---mlkj--kkl7---l---g--h--j--khg---h--fef--g---g---h--j---jh---kjhgg--ef--g7---g---j---kl--ml--j-jjl---l--lm--mlkj-kkl---l---g---h--j--khg---hhg--e7--d--e-eeg---hg--g---g---h--j---kJ---h--g---hg---fe--f--g--hg7---3---ghG--g---g-ggj---jh---kjhg-gF--hg--g---g---e---d--e--d-ddgg--hg---g---j--k--l--l7---l---ml--kj--hgh--j---j---j---jh---kjhgf--hhg--f---ghg---fed---g-ggj--lkjj--hg---ef--g--g7---g---j---k--l--ml--kj--kl--l---l--g--h--j---k--hg---hhg--e--d7--e-eegg--hg---g---h---j--k--hg--f---h--hg--fE--fghg--g7---4","7/8","G","cantusdatabase.org/chant/588578","cantusdatabase.org/source/588308"
"672428","Missus est Gabriel angelus ad ","1---gh--g---g---gh--g--fhk7---klk-kj--kl-mlm--ml---kj---kl7--lj--l---klK--lkj-kjhg--gh-kg-hg-gf---h--kJ--kj7-kh--gf-ghgfg---ghg--g---gh--g--g---g--gl77---lK--lnl-mlk-lk---l---lnm--no--op--l---nM--l7---o---onml-ml--kl--lml-ljkj---jk---lml-mnm--l--kj---hg7--gh-khj--hg---g--g--h--g---h--g--f---f--hk7---kjkh--hg-hjhj--jh---l--k---j--lmlm--kl7--lj---l---kjkl--hg--gh-kg-hg-gf---3---g---hk--kj--lk-kjh7--kl-nmnml-ml---l--lkl--hk--jk-lkjh-jkjh---g--ghjhgh--hg7---fh--klkjhj-gjhjg--ghg--g---4","7","G","cantusdatabase.org/chant/672428","cantusdatabase.org/source/669030"
