popularity_name,tune_id,popularity_tunebooks,tunes_setting_id,tunes_name,tunes_type,tunes_meter,tunes_mode,tunes_abc,tunes_date,tunes_username,recordings_id,recordings_artist,recordings_recording,recordings_track,recordings_number,recordings_tune,aliases_name,aliases_alias
,15326,,28582,'S Ann An Ìle,strathspey,4/4,Gmajor,"uD2|:{F}v[G,2G2]uB>ud c>A B>G|{D}E2 uA>uG F<D D>F|{F}[G,2G2]uB>ud c>A B>G|1 E>A F<D {F}G2 uG>uD:|2 E>A F<D {F}G2 (G>E)|
D>D D>B, D>D D>(B|d>B) A>B G<E E>G|D>D D>B, D>D D>(B|1 d>B) A<B {F}G2 G>E:|2 d>B) A<B {F}G2||",2016-04-03 09:15:08,DonaldK,5919.0,"Ben Miller, Anita MacDonald, Zakk Cormier",South Haven,8.0,4.0,'S Ann An ìle Bhòidheach,'S Ann An Ìle,"[""'S Ann An ìle Bhòidheach"", ""'Sann An Ile""]"
,15326,,28582,'S Ann An Ìle,strathspey,4/4,Gmajor,"uD2|:{F}v[G,2G2]uB>ud c>A B>G|{D}E2 uA>uG F<D D>F|{F}[G,2G2]uB>ud c>A B>G|1 E>A F<D {F}G2 uG>uD:|2 E>A F<D {F}G2 (G>E)|
D>D D>B, D>D D>(B|d>B) A>B G<E E>G|D>D D>B, D>D D>(B|1 d>B) A<B {F}G2 G>E:|2 d>B) A<B {F}G2||",2016-04-03 09:15:08,DonaldK,6929.0,Charlie Grey and Joseph Peach,Live in Concert,8.0,2.0,'S ann an Ile,'S Ann An Ìle,"[""'S Ann An ìle Bhòidheach"", ""'Sann An Ile""]"
,15326,,28582,'S Ann An Ìle,strathspey,4/4,Gmajor,"uD2|:{F}v[G,2G2]uB>ud c>A B>G|{D}E2 uA>uG F<D D>F|{F}[G,2G2]uB>ud c>A B>G|1 E>A F<D {F}G2 uG>uD:|2 E>A F<D {F}G2 (G>E)|
D>D D>B, D>D D>(B|d>B) A>B G<E E>G|D>D D>B, D>D D>(B|1 d>B) A<B {F}G2 G>E:|2 d>B) A<B {F}G2||",2016-04-03 09:15:08,DonaldK,7432.0,Glenfinnan Ceilidh Band,Road to Glenfinnan,11.0,2.0,'S Ann An Ile,'S Ann An Ìle,"[""'S Ann An ìle Bhòidheach"", ""'Sann An Ile""]"
,15326,,28582,'S Ann An Ìle,strathspey,4/4,Gmajor,"uD2|:{F}v[G,2G2]uB>ud c>A B>G|{D}E2 uA>uG F<D D>F|{F}[G,2G2]uB>ud c>A B>G|1 E>A F<D {F}G2 uG>uD:|2 E>A F<D {F}G2 (G>E)|
D>D D>B, D>D D>(B|d>B) A>B G<E E>G|D>D D>B, D>D D>(B|1 d>B) A<B {F}G2 G>E:|2 d>B) A<B {F}G2||",2016-04-03 09:15:08,DonaldK,4819.0,Skeeal,Slipway,12.0,1.0,'S Ann An Ìle,'S Ann An Ìle,"[""'S Ann An ìle Bhòidheach"", ""'Sann An Ile""]"
'S Daor An Tabac,14625,11.0,26955,'S Daor An Tabac,reel,4/4,Bminor,"eAAB eABB|eAAB gedB|eAAB eABB|G2AB gedB:|
~e3d efg2|~e3f gedB|~e3d efg2|G2AB gedB|
~e3d efg2|~e3f gedB|efga geg2|GABG gedB||",2015-07-31 02:47:47,Charles Mackenzie,1502.0,Julie Fowlis,Mar A Tha Mo Chridhe,11.0,3.0,'S Daor An Tabac,,
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,2824.0,Angus MacColl,The Clan MacColl,10.0,6.0,S'iomadh Rud A Chunna Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,3771.0,Angus Nicolson Trio,Lasses That Baffle Us,4.0,4.0,'S Iomaidh Rud A'Chunna Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,5919.0,"Ben Miller, Anita MacDonald, Zakk Cormier",South Haven,8.0,3.0,'S Ioma Rud A Chunna Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,698.0,Cathy Custy,An Ceoltoir Fanach,9.0,2.0,S'iomadh Rud A Chunnaic Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
'S Iomadh Rud A Chunnaic Mi,5478,146.0,5478,'S Iomadh Rud A Chunnaic Mi,reel,4/4,Gmajor,"ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GA|
ABBA GEDE|G2AG EGDG|ABBA GEDE|GEDE G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GD|
G2AB dBAB|dBAB AGED|G2AB dBAB|AGED G2GA|",2006-02-03 04:45:46,Andy F,5186.0,"Duncan Nicolson, Ingrid Henderson & Allan Henderson",Tuning Phrases,2.0,5.0,S'iomadh Rud A Chunnaic Mi,'S Iomadh Rud A Chunnaic Mi,"[""'S Ioma Rud A Chunna Mi"", ""'S Iomadh Rud A Chunna Mi"", ""'S Iomadh Rud A Chunnaic Mi Highland Fling"", ""'S Iomaidh Rud A'Chunna Mi"", ""'S Ionadh Riud A Chunnaic Mi"", ""'Siomadh Rud A Chunna Mi"", 'Cenneag Mhor', 'Many Things Have I Seen', ""Many's The Thing I Saw""]"
